Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
2710003,Antofagasta,-70.3867,-23.5975,50,0.686,0.395,0.714,0.043,0.305,1.205,0.52,0.3,0.09,0.055,0.015,0.02,4.243
280003,Vallenar_ Ad_,-70.75694,-28.59333,535,0.038,0.005,0.662,0.671,1.581,1.675,3.235,1.725,0.43,0.375,0.02,0.01,10.071
280005,San Félix fundo,-70.45861,-28.93833,1183,0.095,0.281,0.614,1.4,2.171,3.095,3.935,2.255,0.42,0.4,0.205,0.05,14.429
280007,El Parral_A,-70.19722,-28.97944,1265,0.133,0.043,1.676,2.971,4.743,5.265,7.23,5.335,0.935,0.745,0.525,0.09,28.733
280010,Freirina Nicolasa,-71.01,-28.51694,156,0.019,0,0.538,0.719,1.643,2.25,3.065,2.13,0.4,0.375,0,0,10.748
2900000,Universidad De Antofagasta,-70.4208,-23.7017,0,0.643,0.357,0.533,0.033,0.295,2.16,0.475,0.235,0.11,0.05,0.02,0.01,4.776
2942001,Aguas Verdes,-69.9633,-25.4,1560,0.1,0,0.5,0.524,0.476,1.49,0.94,1.165,0.385,0.325,0.165,0.005,5.862
2943001,Tal_Tal,-70.4819,-25.4047,9,0.086,0,0.49,0.567,0.457,1.48,0.95,1.165,0.41,0.385,0.205,0.005,5.981
2943002,Tal_Tal (Dcp),-70.4797,-25.4033,0,0.09,0,0.51,0.586,0.505,1.64,0.86,1.07,0.44,0.47,0.22,0.005,6.171
3210001,Las Vegas,-69.6656,-26.6781,2250,0.095,0,0.676,0.905,1.181,0.99,2,1.555,0.54,0.14,0.025,0.125,7.976
3340001,Caldera,-70.8156,-27.0692,15,0.019,0,0.476,0.729,1.124,0.68,1.97,1.475,0.405,0.1,0.025,0.085,6.862
3404002,Jorquera En La Guardia,-69.755,-27.8364,2000,0.51,0.814,0.857,1.714,2.081,1.245,2.73,2.755,0.76,0.165,0.33,0.17,13.743
3414002,Iglesia Colorada,-69.8808,-28.1572,1550,0.143,0.01,0.5,1.043,1.41,1.305,2.39,1.95,0.375,0.14,0.155,0.155,9.267
3421004,Manflas,-69.975,-28.1336,1410,0.133,0.057,0.495,0.971,1.41,1.255,2.47,1.85,0.36,0.15,0.15,0.17,9.167
3430003,Rio Copiapo En Pastillo,-69.9747,-28.0003,1300,0.138,0.11,0.519,0.957,1.005,0.905,2.455,1.96,0.225,0.045,0.1,0.45,8.576
3430006,Lautaro Embalse,-70.0033,-27.9783,1110,0.148,0.105,0.514,0.952,1.343,0.945,2.65,1.79,0.31,0.08,0.1,0.17,8.819
3430007,Los Loros,-70.1119,-27.8317,940,0.129,0.033,0.486,1.005,1.386,0.9,2.425,1.81,0.425,0.08,0.09,0.135,8.624
3431001,Rio Copiapo En La Puerta,-70.1269,-27.8044,915,0.148,0.09,0.514,0.943,1.386,0.915,2.42,1.82,0.43,0.08,0.09,0.13,8.686
3431004,Elibor Campamento,-70.1953,-27.7167,750,0.143,0.114,0.505,0.943,1.357,0.85,2.38,1.84,0.415,0.065,0.08,0.14,8.557
3441001,Pastos Grandes,-69.5642,-27.1142,2260,0.195,0.11,1.043,1.571,1.571,1.29,2.555,1.795,0.72,0.335,0.025,0.175,11.057
3450004,Copiapo,-70.3308,-27.3772,385,0.067,0.005,0.481,0.819,1.238,0.78,2.235,1.655,0.41,0.09,0.02,0.1,7.648
3604001,El Totoral,-70.9575,-27.9022,150,0.019,0,0.476,0.686,1.286,1.295,2.765,1.63,0.33,0.135,0.015,0.005,8.348
3701001,Canto De Agua,-70.7811,-28.0992,330,0.029,0,0.476,0.686,1.333,1.33,2.805,1.75,0.33,0.145,0.015,0,8.595
3802005,Conay,-70.1533,-28.975,1450,1.748,0.39,6.076,11.138,19.743,19.845,29.305,19.925,3.85,2.905,2.09,1.09,114.343
3802006,Conay En Albaricoque,-70.1106,-28.9519,1600,1.024,0.8,7.105,10.276,18.233,18.125,25.555,22.18,4.065,2.245,2.275,0.735,109.038
3804005,El Parral_B,-70.1986,-28.9797,1400,0.148,0,1.914,3.143,5.257,5.83,7.995,5.745,0.995,0.795,0.505,0.1,31.381
3804006,El Corral,-70.3778,-29.1383,1820,0.31,0.143,1.595,2.433,4.167,6.34,7.91,5.095,0.79,0.65,0.575,0.02,29.01
3804007,Junta Del Carmen,-70.4817,-28.7539,770,0.048,0.067,0.538,0.914,1.733,2.125,3.085,1.94,0.415,0.35,0.065,0.025,10.924
3806002,El Transito,-70.2822,-28.8731,1100,0.081,0,0.776,1.81,2.514,3.515,5.16,2.995,0.675,0.605,0.29,0.055,17.843
3815004,San Felix,-70.4614,-28.9311,1150,0.076,0.071,0.552,1.076,1.729,2.305,3.145,1.99,0.345,0.32,0.165,0.04,11.419
3820001,Rio Huasco En Algodones,-70.5067,-28.7306,750,0.019,0.062,0.576,0.857,1.681,2.06,3.14,1.96,0.395,0.355,0.05,0.055,10.829
